"충청북도","비거주용 건물 내 주택",11102,24472,87.6,39.7
"충청북도","오피스텔",6094,7616,36.5,29.2
"충청남도","계",906373,1977702,74.6,34.2
"충청남도","단독주택",384380,713748,80.5,43.3
"충청남도","아파트",443436,1107284,71.7,28.7
"충청남도","연립주택",17710,37636,66.6,31.3
"충청남도","다세대주택",31027,63347,55.4,27.1
"충청남도","비거주용 건물 내 주택",13065,28142,86.3,40.1
"충청남도","오피스텔",16755,27545,53.3,32.4
"전라북도","계",759200,1641359,73.2,33.9
"전라북도","단독주택",334971,629560,75.2,40
"전라북도","아파트",383810,930478,72.2,29.8
"전라북도","연립주택",13881,29089,66.4,31.7
"전라북도","다세대주택",11283,21350,51.5,27.2
"전라북도","비거주용 건물 내 주택",11212,24893,85.9,38.7
"전라북도","오피스텔",4043,5989,48.4,32.7
"전라남도","계",759785,1626928,72.3,33.8
"전라남도","단독주택",389207,742852,73.6,38.6
"전라남도","아파트",325906,792180,71.3,29.3
"전라남도","연립주택",14101,31716,70.8,31.5
"전라남도","다세대주택",8268,17463,60.2,28.5
"전라남도","비거주용 건물 내 주택",14127,31252,83.9,37.9
"전라남도","오피스텔",8176,11465,43.9,31.3
"경상북도","계",1132440,2397123,73.4,34.7
"경상북도","단독주택",545455,982558,74.6,41.4
"경상북도","아파트",496775,1223446,73.3,29.8
"경상북도","연립주택",24735,52516,66.3,31.2
"경상북도","다세대주택",38672,85142,62.8,28.5
"경상북도","비거주용 건물 내 주택",20272,44363,85.1,38.9
"경상북도","오피스텔",6531,9098,41.5,29.8
"경상남도","계",1364366,3060956,74.3,33.1
"경상남도","단독주택",525774,976311,75.8,40.8
"경상남도","아파트",742469,1892076,74.7,29.3
"경상남도","연립주택",21931,48504,70.2,31.8
"경상남도","다세대주택",31259,69497,63.8,28.7
"경상남도","비거주용 건물 내 주택",20007,43013,82.9,38.6
"경상남도","오피스텔",22926,31555,42.3,30.7
"제주특별자치도","계",266082,622202,74.6,31.9
"제주특별자치도","단독주택",122123,272580,82.1,36.8
"제주특별자치도","아파트",70794,178424,69.6,27.6
"제주특별자치도","연립주택",25612,64458,73.5,29.2
"제주특별자치도","다세대주택",29849,72791,64,26.2
"제주특별자치도","비거주용 건물 내 주택",7443,17738,87.9,36.9
"제주특별자치도","오피스텔",10261,16211,43.7,27.6
