"울산광역시","계",453998,137096,132727,97651,71151,12978,1998,397,2.3
"울산광역시","1세대 가구",94083,X,92607,1393,68,13,X,X,2.0
"울산광역시","2세대 가구",203173,X,33165,94015,66099,9136,659,99,3.3
"울산광역시","3세대 가구",11941,X,X,1739,4838,3763,1322,279,4.5
"울산광역시","4세대 이상 가구",63,X,X,X,7,22,15,19,5.9
"울산광역시","1인 가구",137096,137096,X,X,X,X,X,X,1.0
"울산광역시","비친족 가구",7642,X,6955,504,139,44,X,X,2.1
"세종특별자치시","계",154019,50561,37708,30754,27481,6360,931,224,2.4
"세종특별자치시","1세대 가구",25789,X,25279,478,27,X,X,X,2.0
"세종특별자치시","2세대 가구",70021,X,9422,29538,25776,4829,392,64,3.4
"세종특별자치시","3세대 가구",4288,X,X,505,1603,1500,529,151,4.6
"세종특별자치시","4세대 이상 가구",25,X,X,X,X,5,9,8,6.0
"세종특별자치시","1인 가구",50561,50561,X,X,X,X,X,X,1.0
"세종특별자치시","비친족 가구",3335,X,3007,233,72,23,X,X,2.1
"경기도","계",5406963,1634147,1480862,1152760,898218,196621,35559,8796,2.4
"경기도","1세대 가구",966040,X,939598,24951,1360,112,17,X,2.0
"경기도","2세대 가구",2481177,X,418055,1092305,823973,132774,12146,1924,3.3
"경기도","3세대 가구",186965,X,X,24931,70134,62395,23006,6499,4.6
"경기도","4세대 이상 가구",1213,X,X,X,124,328,390,371,6.0
"경기도","1인 가구",1634147,1634147,X,X,X,X,X,X,1.0
"경기도","비친족 가구",137421,X,123209,10573,2627,1012,X,X,2.1
"강원도","계",684895,254441,219958,115248,72817,17876,3536,1019,2.1
"강원도","1세대 가구",152941,X,149379,3375,174,11,X,X,2.0
"강원도","2세대 가구",240484,X,56510,107097,63838,11620,1192,227,3.1
"강원도","3세대 가구",20940,X,X,3467,8393,6056,2285,739,4.5
"강원도","4세대 이상 가구",192,X,X,X,18,64,58,52,5.9
"강원도","1인 가구",254441,254441,X,X,X,X,X,X,1.0
"강원도","비친족 가구",15897,X,14069,1309,394,125,X,X,2.2
"충청북도","계",704864,260948,214022,121056,83406,20629,3759,1044,2.2
"충청북도","1세대 가구",147038,X,143719,3144,161,13,X,X,2.0
"충청북도","2세대 가구",259822,X,55000,113592,75081,14430,1450,269,3.2
"충청북도","3세대 가구",19953,X,X,3106,7845,5996,2273,733,4.5
"충청북도","4세대 이상 가구",141,X,X,X,15,49,35,42,5.9
"충청북도","1인 가구",260948,260948,X,X,X,X,X,X,1.0
"충청북도","비친족 가구",16962,X,15303,1214,304,141,X,X,2.1
"충청남도","계",931370,340741,284304,159362,111851,28246,5420,1446,2.2
"충청남도","1세대 가구",196315,X,191195,4884,216,18,X,X,2.0
"충청남도","2세대 가구",340489,X,69843,148246,100452,19566,2029,353,3.2
"충청남도","3세대 가구",27261,X,X,4033,10578,8313,3322,1015,4.5
"충청남도","4세대 이상 가구",240,X,X,X,23,72,67,78,6.0
"충청남도","1인 가구",340741,340741,X,X,X,X,X,X,1.0
"충청남도","비친족 가구",26324,X,23266,2199,582,277,X,X,2.2
"전라북도","계",777680,284613,245506,130358,87440,23701,4730,1332,2.2
"전라북도","1세대 가구",169406,X,165202,3968,222,9,5,X,2.0
"전라북도","2세대 가구",286023,X,66621,121478,78568,16911,2067,378,3.2
"전라북도","3세대 가구",22023,X,X,3608,8287,6624,2608,896,4.5
"전라북도","4세대 이상 가구",174,X,X,X,24,42,50,58,6.0
"전라북도","1인 가구",284613,284613,X,X,X,X,X,X,1.0
"전라북도","비친족 가구",15441,X,13683,1304,339,115,X,X,2.2
"전라남도","계",784645,283429,262746,128459,81468,22548,4584,1411,2.1
"전라남도","1세대 가구",182905,X,178105,4535,243,21,X,X,2.0
"전라남도","2세대 가구",277355,X,68254,118261,72211,16263,1937,429,3.2
"전라남도","3세대 가구",22089,X,X,4009,8555,6019,2574,932,4.5
"전라남도","4세대 이상 가구",226,X,X,X,36,68,72,50,5.7
"전라남도","1인 가구",283429,283429,X,X,X,X,X,X,1.0
"전라남도","비친족 가구",18641,X,16387,1654,423,177,X,X,2.2
"경상북도","계",1166306,430969,381459,196804,122993,27752,5009,1320,2.1
"경상북도","1세대 가구",272484,X,266815,5390,261,18,X,X,2.0
"경상북도","2세대 가구",405786,X,90963,184199,109843,18729,1744,308,3.2
"경상북도","3세대 가구",30246,X,X,5062,12326,8731,3179,948,4.4
"경상북도","4세대 이상 가구",273,X,X,X,36,87,86,64,5.7
"경상북도","1인 가구",430969,430969,X,X,X,X,X,X,1.0
"경상북도","비친족 가구",26548,X,23681,2153,527,187,X,X,2.1
"경상남도","계",1392608,468772,425720,264918,185108,39773,6710,1607,2.2
"경상남도","1세대 가구",297503,X,291327,5867,282,25,X,X,2.0
"경상남도","2세대 가구",561866,X,111621,251046,168938,27519,2333,409,3.2
"경상남도","3세대 가구",39047,X,X,6236,15385,11980,4305,1141,4.5
"경상남도","4세대 이상 가구",213,X,X,X,24,62,70,57,5.9
"경상남도","1인 가구",468772,468772,X,X,X,X,X,X,1.0
"경상남도","비친족 가구",25207,X,22772,1769,479,187,X,X,2.1
"제주특별자치도","계",276225,92172,80230,50448,37279,12229,2913,954,2.3
"제주특별자치도","1세대 가구",49705,X,48088,1521,90,6,X,X,2.0
"제주특별자치도","2세대 가구",114270,X,24078,46698,33272,8875,1144,203,3.3
"제주특별자치도","3세대 가구",10898,X,X,1464,3721,3259,1742,712,4.7
"제주특별자치도","4세대 이상 가구",107,X,X,X,10,31,27,39,6.0
"제주특별자치도","1인 가구",92172,92172,X,X,X,X,X,X,1.0
"제주특별자치도","비친족 가구",9073,X,8064,765,186,58,X,X,2.1
