"행정구역별(시군구)","가구주의 연령",2022,2022,2022,2022,2022,2022,2022,2022,2022
"행정구역별(시군구)","가구주의 연령",일반가구,가구원수 1명,가구원수 2명,가구원수 3명,가구원수 4명,가구원수 5명,가구원수 6명,가구원수 7명 이상,평균 가구원수
"서울특별시","35~39세",333500,133594,72357,72881,44914,7909,1492,353,2.2
"서울특별시","40~44세",362919,104993,61284,84595,88744,19054,3485,764,2.6
"서울특별시","45~49세",367893,88732,63671,86613,101396,22578,4105,798,2.8
"서울특별시","50~54세",431544,93831,90568,114500,106472,21940,3525,708,2.7
"서울특별시","55~59세",388447,86408,97110,105162,82286,14883,2173,425,2.6
"서울특별시","60~64세",405343,104578,133768,101964,54275,8936,1510,312,2.3
"서울특별시","65~69세",324675,95561,133580,67094,22529,4399,1171,341,2.1
"서울특별시","70~74세",236580,73327,107602,40016,11234,2962,1099,340,2
"서울특별시","75~79세",180112,60023,81431,27129,7592,2592,1039,306,2
"서울특별시","80~84세",128307,47777,54210,17975,5389,1973,768,215,1.9
"서울특별시","85세 이상",69778,32384,25348,7963,2618,1001,366,98,1.8
"부산광역시","합계",1447825,511745,434269,274463,183071,36555,6271,1451,2.2
"부산광역시","15세미만",5,X,X,X,X,X,X,X,2.2
"부산광역시","15~19세",3676,3521,133,17,X,X,X,X,1
"부산광역시","20~24세",42564,37333,3960,893,328,44,5,X,1.2
"부산광역시","25~29세",74374,55655,13062,4055,1358,209,26,9,1.4
"부산광역시","30~34세",85463,44373,21277,13357,5472,821,124,39,1.8
"부산광역시","35~39세",93432,29233,17949,23739,18620,3296,479,116,2.5
"부산광역시","40~44세",123676,29017,19266,29609,36372,7874,1271,267,2.8
"부산광역시","45~49세",126137,28358,22861,29812,35446,8072,1299,289,2.8
"부산광역시","50~54세",152886,35480,36273,40466,32972,6490,1006,199,2.6
"부산광역시","55~59세",149622,37476,45104,38674,23788,3952,523,105,2.4
"부산광역시","60~64세",174010,50689,67580,38244,14834,2199,375,89,2.1
"부산광역시","65~69세",147828,49803,66635,23809,6000,1158,327,96,1.9
"부산광역시","70~74세",110958,39553,52307,14481,3269,902,352,94,1.9
"부산광역시","75~79세",78825,30608,35746,9120,2313,710,251,77,1.8
"부산광역시","80~84세",56271,25442,22699,5754,1572,580,177,47,1.8
"부산광역시","85세 이상",28098,15203,9415,2431,723,247,56,23,1.6
"대구광역시","합계",1010834,341667,289778,200752,144402,28535,4731,969,2.3
"대구광역시","15세미만",X,X,X,X,X,X,X,X,1.5
"대구광역시","15~19세",2609,2484,103,19,X,X,X,X,1.1
"대구광역시","20~24세",25595,22337,2416,614,191,35,X,X,1.2
"대구광역시","25~29세",48165,36202,8197,2719,893,130,19,5,1.4
"대구광역시","30~34세",58674,30287,13668,9690,4335,587,86,21,1.8
"대구광역시","35~39세",67309,20521,11493,17300,14887,2633,396,79,2.5
"대구광역시","40~44세",89613,20199,12294,21553,28283,6162,919,203,2.9
"대구광역시","45~49세",99231,21323,16518,23687,30121,6448,981,153,2.9
"대구광역시","50~54세",122015,26898,27708,33338,27907,5333,721,110,2.7
"대구광역시","55~59세",116899,28350,34783,31087,18974,3227,405,73,2.4
"대구광역시","60~64세",119689,33968,46545,27011,10188,1605,300,72,2.2
"대구광역시","65~69세",90574,29791,41277,14607,3774,774,277,74,2
"대구광역시","70~74세",67374,23638,32211,8646,1942,610,241,86,1.9
"대구광역시","75~79세",46249,17952,21115,5232,1276,433,192,49,1.8
"대구광역시","80~84세",36503,16581,14669,3610,1107,370,132,34,1.8
"대구광역시","85세 이상",20333,11135,6780,1639,522,187,60,10,1.6
"인천광역시","합계",1212731,376392,347241,255433,185024,40022,6983,1636,2.3
"인천광역시","15세미만",6,X,X,X,X,X,X,X,2.2
"인천광역시","15~19세",1806,1641,130,26,X,5,X,X,1.1
"인천광역시","20~24세",21878,17146,3202,1033,407,74,14,X,1.3
"인천광역시","25~29세",62301,40818,13696,5322,2019,387,49,10,1.5
"인천광역시","30~34세",85420,39117,22969,14891,6943,1267,173,60,1.9
"인천광역시","35~39세",97360,27779,20016,24519,20010,4152,728,156,2.5
"인천광역시","40~44세",125131,27629,20869,29852,35939,9001,1499,342,2.9
"인천광역시","45~49세",127988,27026,23931,30702,35678,8974,1387,290,2.9
